iter	Passed	Remaining
0	2036	405167
1	3922	388316
2	5628	369594
3	7388	362022
4	9262	361226
5	10977	354934
6	12597	347337
7	14165	339972
8	15830	335958
9	17487	332257
10	19159	329189
11	20967	328492
12	22604	325154
13	24300	322845
14	26057	321371
15	27734	318950
16	29362	316081
17	30946	312900
18	32693	311452
19	34335	309019
20	35985	306735
21	37715	305154
22	39324	302625
23	40920	300086
24	42763	299342
25	44489	297738
26	46136	295613
27	47718	293127
28	49308	290748
29	50838	288086
30	52445	285913
31	54182	284457
32	54254	274563
33	55916	273004
34	57726	272136
35	59368	270457
36	61069	269034
37	62823	267828
38	64507	266298
39	66071	264284
40	67684	262483
41	69458	261295
42	71154	259797
43	72840	258253
44	74510	256647
45	76226	255194
46	77956	253773
47	79680	252320
48	81417	250899
49	81433	244299
50	83194	243058
51	84810	241382
52	86484	239872
53	88096	238186
54	89821	236802
55	91494	235271
56	93292	234050
57	95016	232626
58	96748	231212
59	98555	229963
60	98622	224729
61	100278	223200
62	101883	221556
63	103450	219831
64	104973	218021
65	106469	216164
66	108005	214399
67	109560	212676
68	111202	211122
69	112842	209565
70	114455	207954
71	116066	206341
72	117690	204749
73	119252	203052
74	120810	201351
75	122320	199575
76	123749	197678
77	125222	195861
78	126688	194041
79	128286	192430
80	129826	190732
81	131315	188966
82	132807	187211
83	134364	185550
84	135884	183843
85	137401	182137
86	138968	180498
87	140512	178834
88	142005	177107
89	143404	175272
90	144832	173480
91	146242	171676
92	147698	169933
93	149195	168241
94	150784	166656
95	152290	164981
96	153818	163332
97	155321	161661
98	156813	159981
99	158373	158373
100	159792	156628
101	161220	154898
102	162755	153274
103	164270	151634
104	165793	150003
105	167398	148447
106	168976	146867
107	170594	145321
108	172235	143792
109	173837	142230
110	175459	140683
111	177074	139129
112	178655	137549
113	180219	135955
114	181859	134417
115	183379	132792
116	184874	131150
117	186409	129539
118	187949	127931
119	189569	126379
120	191203	124835
121	192801	123266
122	194457	121733
123	196118	120201
124	197883	118729
125	199544	117192
126	201048	115563
127	202586	113955
128	204169	112372
129	205768	110798
130	207317	109197
131	208885	107607
132	210412	105997
133	211983	104409
134	213630	102859
135	215373	101352
136	216995	99786
137	218596	98209
138	220254	96658
139	221911	95104
140	223496	93519
141	225047	91920
142	226677	90354
143	228273	88773
144	229890	87199
145	231548	85641
146	233158	84063
147	234807	82499
148	236530	80960
149	238108	79369
150	239824	77823
151	241472	76254
152	243073	74669
153	244656	73079
154	246213	71481
155	247788	69889
156	249418	68312
157	250990	66718
158	252591	65133
159	252614	63153
160	254190	61574
161	255762	59993
162	257376	58422
163	258972	56847
164	260652	55289
165	262276	53719
166	263923	52152
167	265578	50586
168	267217	49016
169	268932	47458
170	270539	45880
171	272164	44305
172	273827	42736
173	275442	41158
174	276990	39570
175	278492	37976
176	280037	36389
177	281533	34796
178	283066	33208
179	284578	31619
180	286135	30036
181	287652	28449
182	289167	26862
183	290820	25288
184	292392	23707
185	293979	22127
186	295559	20546
187	297103	18964
188	298625	17380
189	300177	15798
190	301764	14219
191	303320	12638
192	304849	11056
193	306351	9474
194	307880	7894
195	309431	6314
196	310994	4735
197	312522	3156
198	314081	1578
199	315696	0
